Manufacturer,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
AMD,EPYC 7551,Naples,32 / 64,2 to 3 GHz,Socket SP3,14 nm,64MB,180 W,"Jun 29th, 2017"
AMD,EPYC 7551P,Naples,32 / 64,2 to 3 GHz,Socket SP3,14 nm,64MB,180 W,"Jun 29th, 2017"
AMD,EPYC 7601,Naples,32 / 64,2.2 to 3.2 GHz,Socket SP3,14 nm,64MB,180 W,"Jun 29th, 2017"
AMD,Ryzen 3 1200,Zen,4,3.1 to 3.4 GHz,Socket AM4,14 nm,8MB,65 W,"Jul 27th, 2017"
AMD,Ryzen 3 1300,Zen,4,3.2 to 3.5 GHz,Socket AM4,14 nm,8MB,65 W,"Apr 11th, 2017"
AMD,Ryzen 3 1300X,Zen,4,3.4 to 3.7 GHz,Socket AM4,14 nm,8MB,65 W,"Jul 27th, 2017"
AMD,Ryzen 3 PRO 1200,Zen,4,3.1 to 3.4 GHz,Socket AM4,14 nm,8MB,65 W,"Jun 29th, 2017"
AMD,Ryzen 3 PRO 1300,Zen,4,3.2 to 3.5 GHz,Socket AM4,14 nm,8MB,65 W,"Jun 29th, 2017"
AMD,Ryzen 5 1400,Zen,4 / 8,3.2 to 3.4 GHz,Socket AM4,14 nm,8MB,65 W,"Apr 11th, 2017"
AMD,Ryzen 5 1500X,Zen,4 / 8,3.5 to 3.7 GHz,Socket AM4,14 nm,16MB,65 W,"Apr 11th, 2017"
AMD,Ryzen 5 1600,Zen,6 / 12,3.2 to 3.6 GHz,Socket AM4,14 nm,16MB,65 W,"Apr 11th, 2017"
AMD,Ryzen 5 1600X,Zen,6 / 12,3.6 to 4 GHz,Socket AM4,14 nm,16MB,95 W,"Apr 11th, 2017"
