Manufacturer,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Intel,Core i7-10700,Comet Lake,8 / 16,2.9 to 4.8 GHz,Socket 1200,14 nm,16MB,65 W,"Apr 30th, 2020"
Intel,Core i7-10700F,Comet Lake,8 / 16,2.9 to 4.8 GHz,Socket 1200,14 nm,16MB,65 W,"Apr 30th, 2020"
Intel,Core i7-10700K,Comet Lake,8 / 16,3.8 to 5.1 GHz,Socket 1200,14 nm,16MB,125 W,"Apr 30th, 2020"
Intel,Core i7-10700KF,Comet Lake,8 / 16,3.8 to 5.1 GHz,Socket 1200,14 nm,16MB,125 W,"Apr 30th, 2020"
Intel,Core i9-10800F,Comet Lake,10 / 20,2.7 to 5 GHz,Socket 1200,14 nm,20MB,65 W,"Apr 30th, 2020"
Intel,Core i9-10850K,Comet Lake,10 / 20,3.6 to 5.2 GHz,Socket 1200,14 nm,20MB,125 W,"Jul 27th, 2020"
Intel,Core i9-10900,Comet Lake,10 / 20,2.8 to 5.2 GHz,Socket 1200,14 nm,20MB,65 W,"Apr 30th, 2020"
Intel,Core i9-10900F,Comet Lake,10 / 20,2.8 to 5.2 GHz,Socket 1200,14 nm,20MB,65 W,"Apr 30th, 2020"
Intel,Core i9-10900K,Comet Lake,10 / 20,3.7 to 5.3 GHz,Socket 1200,14 nm,20MB,125 W,"Apr 30th, 2020"
Intel,Core i9-10900KF,Comet Lake,10 / 20,3.7 to 5.3 GHz,Socket 1200,14 nm,20MB,125 W,"Apr 30th, 2020"
Intel,Core i9-10990XE,Cascade Lake-X,22 / 44,4 to 5 GHz,Socket 2066,14 nm,30.25MB,380 W,Never Released
Intel,Pentium Gold G6400,Comet Lake,2 / 4,4 GHz,Socket 1200,14 nm,4MB,58 W,"Apr 30th, 2020"
Intel,Pentium Gold G6500,Comet Lake,2 / 4,4.1 GHz,Socket 1200,14 nm,4MB,58 W,"Apr 30th, 2020"
Intel,Pentium Gold G6600,Comet Lake,2 / 4,4.2 GHz,Socket 1200,14 nm,4MB,58 W,"Apr 30th, 2020"
AMD,Ryzen 3 5300G,Cezanne,4 / 8,4 to 4.2 GHz,Socket AM4,7 nm,8MB,65 W,"Apr 13th, 2021"
AMD,Ryzen 5 5600G,Cezanne,6 / 12,3.9 to 4.4 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 13th, 2021"
AMD,Ryzen 7 5700G,Cezanne,8 / 16,3.8 to 4.6 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 13th, 2021"
AMD,Ryzen 7 5800G,Cezanne,8 / 16,3.8 to 4.8 GHz,Socket AM4,7 nm,16MB,65 W,Unknown
Intel,Core i3-10105,Comet Lake-R,4 / 8,3.7 to 4.4 GHz,Socket 1200,14 nm,6MB,65 W,"Mar 16th, 2021"
Intel,Core i3-10105F,Comet Lake-R,4 / 8,3.7 to 4.4 GHz,Socket 1200,14 nm,6MB,65 W,"Mar 16th, 2021"
Intel,Core i3-10105T,Comet Lake-R,4 / 8,3 to 3.9 GHz,Socket 1200,14 nm,6MB,35 W,"Mar 16th, 2021"
Intel,Core i3-10305,Comet Lake-R,4 / 8,3.8 to 4.5 GHz,Socket 1200,14 nm,8MB,65 W,"Mar 16th, 2021"
Intel,Core i3-10305T,Comet Lake-R,4 / 8,3 to 4 GHz,Socket 1200,14 nm,8MB,35 W,"Mar 16th, 2021"
Intel,Core i3-10325,Comet Lake-R,4 / 8,3.9 to 4.7 GHz,Socket 1200,14 nm,8MB,65 W,"Mar 16th, 2021"
Intel,Core i5-11400,Rocket Lake,6 / 12,2.6 to 4.4 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 16th, 2021"
